"Datum","El kWh","Utomhustemperatur","Status"
"2022-08-01 00:00","1,45","17,3","Normalt"
"2022-08-01 01:00","1,64",17,"Normalt"
"2022-08-01 02:00","0,79","16,1","Normalt"
"2022-08-01 03:00","0,33","15,8","Normalt"
"2022-08-01 04:00","0,28","15,8","Normalt"
"2022-08-01 05:00","0,28","15,9","Normalt"
"2022-08-01 06:00","0,3","16,4","Normalt"
"2022-08-01 07:00","0,45","18,3","Normalt"
"2022-08-01 08:00","1,37","19,4","Normalt"
"2022-08-01 09:00","0,39","19,8","Normalt"
"2022-08-01 10:00","0,47","21,1","Normalt"
"2022-08-01 11:00","0,39","22,1","Normalt"
"2022-08-01 12:00","0,58","22,8","Normalt"
"2022-08-01 13:00","1,6","23,9","Normalt"
"2022-08-01 14:00","0,87","23,3","Normalt"
"2022-08-01 15:00","0,87","24,5","Normalt"
"2022-08-01 16:00","0,66","25,2","Normalt"
"2022-08-01 17:00","1,65","24,2","Normalt"
"2022-08-01 18:00","2,39",23,"Normalt"
"2022-08-01 19:00","1,48","21,9","Normalt"
"2022-08-01 20:00","0,59","21,5","Normalt"
"2022-08-01 21:00","1,1","19,3","Normalt"
"2022-08-01 22:00","1,55","17,7","Normalt"
"2022-08-01 23:00","1,41","16,8","Normalt"
"2022-08-02 00:00","1,32","16,7","Normalt"
"2022-08-02 01:00","0,72","16,7","Normalt"
"2022-08-02 02:00","0,3","16,3","Normalt"
"2022-08-02 03:00","0,3","14,7","Normalt"
"2022-08-02 04:00","0,31","14,2","Normalt"
"2022-08-02 05:00","0,31","13,4","Normalt"
"2022-08-02 06:00","0,36","13,4","Normalt"
"2022-08-02 07:00","1,27","13,7","Normalt"
"2022-08-02 08:00","0,6","14,2","Normalt"
"2022-08-02 09:00","0,43","15,1","Normalt"
"2022-08-02 10:00","0,43","16,7","Normalt"
"2022-08-02 11:00","0,5","18,4","Normalt"
"2022-08-02 12:00","0,5","19,9","Normalt"
"2022-08-02 13:00","0,88","20,5","Normalt"
"2022-08-02 14:00","0,61","21,6","Normalt"
"2022-08-02 15:00","0,93","21,1","Normalt"
"2022-08-02 16:00","1,56","22,9","Normalt"
"2022-08-02 17:00","0,75","23,3","Normalt"
"2022-08-02 18:00","0,49",23,"Normalt"
"2022-08-02 19:00","0,86","22,3","Normalt"
"2022-08-02 20:00","0,63","20,3","Normalt"
"2022-08-02 21:00","0,67",19,"Normalt"
"2022-08-02 22:00","0,82","18,1","Normalt"
"2022-08-02 23:00","1,95","17,9","Normalt"
"2022-08-03 00:00","1,11","17,7","Normalt"
"2022-08-03 01:00","0,33","16,2","Normalt"
"2022-08-03 02:00","0,28","15,6","Normalt"
"2022-08-03 03:00","0,27","15,1","Normalt"
"2022-08-03 04:00","0,35","15,5","Normalt"
"2022-08-03 05:00","0,33","15,5","Normalt"
"2022-08-03 06:00","0,28","15,3","Normalt"
"2022-08-03 07:00","0,28","16,7","Normalt"
"2022-08-03 08:00","1,31","17,3","Normalt"
"2022-08-03 09:00","2,18","18,1","Normalt"
"2022-08-03 10:00","0,57","20,1","Normalt"
"2022-08-03 11:00","0,47","21,6","Normalt"
"2022-08-03 12:00","0,49","22,9","Normalt"
"2022-08-03 13:00","0,64","24,1","Normalt"
"2022-08-03 14:00","0,54","23,1","Normalt"
"2022-08-03 15:00","1,45","24,9","Normalt"
"2022-08-03 16:00","0,69","23,7","Normalt"
"2022-08-03 17:00","0,82","23,3","Normalt"
"2022-08-03 18:00","0,69","23,1","Normalt"
"2022-08-03 19:00","0,89","22,9","Normalt"
"2022-08-03 20:00","0,66","22,4","Normalt"
"2022-08-03 21:00","0,59",22,"Normalt"
"2022-08-03 22:00","1,71","21,1","Normalt"
"2022-08-03 23:00","1,19","20,5","Normalt"
"2022-08-04 00:00","1,11","19,9","Normalt"
"2022-08-04 01:00","1,24","21,2","Normalt"
"2022-08-04 02:00","1,72","20,9","Normalt"
"2022-08-04 03:00","0,3","20,1","Normalt"
"2022-08-04 04:00","0,3","19,5","Normalt"
"2022-08-04 05:00","0,28","19,6","Normalt"
"2022-08-04 06:00","0,27","19,7","Normalt"
"2022-08-04 07:00","0,31","20,3","Normalt"
"2022-08-04 08:00","0,41","21,1","Normalt"
"2022-08-04 09:00","1,39","21,7","Normalt"
"2022-08-04 10:00","1,02","22,2","Normalt"
"2022-08-04 11:00","0,41","23,3","Normalt"
"2022-08-04 12:00","0,71","24,2","Normalt"
"2022-08-04 13:00","0,53","25,2","Normalt"
"2022-08-04 14:00","0,43","25,9","Normalt"
"2022-08-04 15:00","1,13","27,2","Normalt"
"2022-08-04 16:00","0,88","27,6","Normalt"
"2022-08-04 17:00","1,47","27,3","Normalt"
"2022-08-04 18:00",2,"28,3","Normalt"
"2022-08-04 19:00","2,28","26,1","Normalt"
"2022-08-04 20:00","1,27","24,4","Normalt"
"2022-08-04 21:00","0,9","23,1","Normalt"
"2022-08-04 22:00","1,12","22,9","Normalt"
"2022-08-04 23:00","1,03","22,3","Normalt"
"2022-08-05 00:00","0,35","21,3","Normalt"
"2022-08-05 01:00","0,39","20,3","Normalt"
