Klockslag	Timpris (SE3)
Kl. 00 - 01	162,38 öre/kWh
Kl. 01 - 02	77,88 öre/kWh
Kl. 02 - 03	74,24 öre/kWh
Kl. 03 - 04	72,04 öre/kWh
Kl. 04 - 05	144,67 öre/kWh
Kl. 05 - 06	250,91 öre/kWh
Kl. 06 - 07	447,07 öre/kWh
Kl. 07 - 08	512,49 öre/kWh
Kl. 08 - 09	518,41 öre/kWh
Kl. 09 - 10	423,27 öre/kWh
Kl. 10 - 11	364,37 öre/kWh
Kl. 11 - 12	328,47 öre/kWh
Kl. 12 - 13	321,22 öre/kWh
Kl. 13 - 14	301,01 öre/kWh
Kl. 14 - 15	314,36 öre/kWh
Kl. 15 - 16	339,31 öre/kWh
Kl. 16 - 17	401,44 öre/kWh
Kl. 17 - 18	446,18 öre/kWh
Kl. 18 - 19	446,34 öre/kWh
Kl. 19 - 20	443,04 öre/kWh
Kl. 20 - 21	441,33 öre/kWh
Kl. 21 - 22	414,62 öre/kWh
Kl. 22 - 23	148,30 öre/kWh
Kl. 23 - 00	53,16 öre/kWh
